series,ticker,side,ask,secs_left,won,profit
KXBTC15M,KXBTC15M-26AUG111630-30,no,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG111545-45,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG111530-30,yes,91,480,True,4.14
KXBTC15M,KXBTC15M-26AUG111415-15,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26AUG111045-45,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG110930-30,no,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG110845-45,yes,91,300,True,4.14
KXBTC15M,KXBTC15M-26AUG110645-45,no,92,180,True,3.64
KXBTC15M,KXBTC15M-26AUG110530-30,yes,91,480,True,4.14
KXBTC15M,KXBTC15M-26AUG110330-30,no,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG110300-00,no,92,240,False,-45
KXBTC15M,KXBTC15M-26AUG110200-00,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26AUG102330-30,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG102100-00,yes,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG102015-15,no,92,240,True,3.64
KXBTC15M,KXBTC15M-26AUG101945-45,no,91,420,True,4.14
KXBTC15M,KXBTC15M-26AUG101915-15,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG101845-45,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG101830-30,no,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG101800-00,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG101700-00,no,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG101630-30,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG101615-15,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG101515-15,yes,90,180,True,4.65
KXBTC15M,KXBTC15M-26AUG101445-45,no,92,300,True,3.64
KXBTC15M,KXBTC15M-26AUG101015-15,yes,90,600,True,4.65
KXBTC15M,KXBTC15M-26AUG100930-30,yes,91,180,True,4.14
KXBTC15M,KXBTC15M-26AUG100830-30,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG100730-30,yes,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG100600-00,no,91,540,True,4.14
KXBTC15M,KXBTC15M-26AUG100545-45,no,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG100515-15,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG100415-15,yes,93,600,True,3.15
KXBTC15M,KXBTC15M-26AUG100315-15,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG100215-15,yes,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG100115-15,yes,93,360,False,-45
KXBTC15M,KXBTC15M-26AUG100015-15,yes,91,480,True,4.14
KXBTC15M,KXBTC15M-26AUG092315-15,no,92,420,True,3.64
KXBTC15M,KXBTC15M-26AUG092145-45,no,93,480,True,3.15
KXBTC15M,KXBTC15M-26AUG091815-15,yes,91,540,True,4.14
KXBTC15M,KXBTC15M-26AUG091800-00,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26AUG091645-45,yes,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG091630-30,yes,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG091530-30,yes,93,420,True,3.15
KXBTC15M,KXBTC15M-26AUG090945-45,yes,93,540,True,3.15
KXBTC15M,KXBTC15M-26AUG090815-15,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG090715-15,yes,93,240,True,3.15
KXBTC15M,KXBTC15M-26AUG090700-00,yes,90,540,True,4.65
KXBTC15M,KXBTC15M-26AUG090645-45,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG090615-15,yes,91,600,True,4.14
KXBTC15M,KXBTC15M-26AUG090345-45,no,93,180,True,3.15
KXBTC15M,KXBTC15M-26AUG090330-30,no,90,240,True,4.65
KXBTC15M,KXBTC15M-26AUG090100-00,no,93,360,True,3.15
KXBTC15M,KXBTC15M-26AUG090015-15,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26AUG082330-30,yes,92,240,True,3.64
KXBTC15M,KXBTC15M-26AUG082215-15,no,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG082200-00,no,90,360,True,4.65
KXBTC15M,KXBTC15M-26AUG082145-45,yes,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG082045-45,yes,92,300,True,3.64
KXBTC15M,KXBTC15M-26AUG081945-45,yes,91,360,True,4.14
KXBTC15M,KXBTC15M-26AUG081930-30,yes,90,480,False,-45
KXBTC15M,KXBTC15M-26AUG081430-30,no,90,480,True,4.65
KXBTC15M,KXBTC15M-26AUG080945-45,no,91,240,True,4.14
KXBTC15M,KXBTC15M-26AUG080900-00,yes,91,300,False,-45
KXBTC15M,KXBTC15M-26AUG080600-00,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG080530-30,yes,90,300,True,4.65
KXBTC15M,KXBTC15M-26AUG080445-45,yes,90,420,True,4.65
KXBTC15M,KXBTC15M-26AUG080300-00,yes,92,480,True,3.64
KXBTC15M,KXBTC15M-26AUG080100-00,no,93,300,True,3.15
KXBTC15M,KXBTC15M-26AUG072130-30,no,92,360,True,3.64
KXBTC15M,KXBTC15M-26AUG072030-30,no,91,540,True,4.14
